Framework,Year,Reference Paper Link,Core Pipeline,Datasets Used,Headline Quantitative Gains,Experimental Settings
MEDICO,2024,Medico: Towards Hallucination Detection and Correction with Multi-source Evidence Fusion - ACL Anthology,"A multi-source evidence fusion framework for hallucination detection and correction. It retrieves evidence from multiple sources (web, KB, KG, user files), fuses them, detects hallucinations, provides a rationale, and iteratively revises the content.",Evaluation: A randomly sampled subset of 1000 triplets from the HaluEval benchmark.,"On retrieval, achieved 0.964 HR@5  and 0.908 MRR@5. On hallucination detection, achieved F1-scores of 0.927 on Qwen2-7B and 0.951 on Llama3-8B. On correction, achieved an approval rate of 0.973 on Qwen2-7B and 0.979 on Llama3-8B.","Core LLMs: Llama3-8B and Qwen2-7B for detection and correction. 
Retrieval Sources: Google Search API, Wikipedia, Wikidata5m, and user-uploaded files. 
Metrics: Hit Rate (HR) (retrieval), Mean Reciprocal Rank (MRR) (retrieval); F1-score (detection); Approval Rate (correction)."
Yours Truly,2024,https://ieeexplore.ieee.org/abstract/document/10807167,"An end-to-end framework that uses FactStore, a real-time database of fact-checked claims. It breaks compound sentences into atomic claims, retrieves and reranks evidence for each, and uses a fine-tuned LLM to infer truth values and generate a credibility report.","Knowledge Source: FactStore, a custom database of articles from Indian and international fact-checking sites. 
Evaluation: TRUTHSEEKER 2023, FACTIFY-5WQA, LIAR, FEVEROUS.","Achieved an F1 Score of 94%. Outperformed contemporary fact-checking systems on multiple misinformation baselines, achieving 0.92 F1 on a synthesized LIAR dataset.","Core LLMs: GPT-4, GPT-3.5, and Mistral-7B. 
Retrieval: Text and vector search on FactStore, with reranking using a query-based committee selector.
Metrics: Precision, Recall, F1 Score, Accuracy."
CLImate Mediator for INformed Analysis and Transparent Objective Reasoning (CLIMINATOR),2025,Automated fact-checking of climate claims with large language models,"A Mediator-Advocate debate framework for fact-checking climate claims. Specialized ""Advocate"" LLMs, grounded in different authoritative text sources, present arguments. A central ""Mediator"" LLM synthesizes these views, asks follow-up questions if needed, and delivers a final verdict.","Knowledge Sources: IPCC reports, WMO reports, scientific abstracts (AbsCC), and top climate scientist abstracts (1000S). An adversarial NIPCC corpus was used for robustness tests. 
Evaluation: Climate Feedback dataset (170 annotated claims).","Achieved a binary classification accuracy exceeding 96% on the Climate Feedback dataset. Significantly outperformed a standalone GPT-4o, especially on more granular classification levels (72.7% vs. 56.5% accuracy at Level 2).","Core LLM: GPT-4o as both the Mediator and the base for RAG-based Advocates. 
Baselines: Standalone GPT-4o. 
Metrics: Accuracy, Precision, Recall, F1-score across four hierarchical classification levels."
Multi-FAct,2024,Multi-FAct: Assessing Factuality of Multilingual LLMs using FActScore | OpenReview,"A pipeline that adapts FActScore for multilingual factuality evaluation. It generates biographies in multiple languages, translates them to English, decomposes them into atomic facts, and verifies each fact against English Wikipedia using open-source models.","Knowledge Source: Primarily English Wikipedia for verification. Also explored using non-English Wikipedia articles. 
Evaluation Topics: Biographies of national leaders from 2015, curated for geographical diversity.",Found that English generations consistently have higher factual accuracy and quantity of facts. Revealed a strong bias towards North American and European topics across all evaluated languages.,"Core LLMs (for generation): GPT-4 and GPT-3.5. 
Core Models (for verification): Mistral-7B for decomposition and verification. 
Translation: GPT-3.5. 
Metric: FActScore."
FIRE,2025,[2411.00784] FIRE: Fact-checking with Iterative Retrieval and Verification,"An agent-based framework that iteratively integrates evidence retrieval and verification. It decides at each step whether to output a final answer based on confidence or to generate another search query, mimicking human search strategies to reduce cost.","Evaluation: Factcheck-Bench, FacTool-QA, FELM-WK, and BingCheck.",Achieved slightly better performance than strong baselines while reducing LLM costs by 7.6x and search costs by 16.5x.,"Core LLMs: GPT-4o, GPT-4o-mini, Claude models, LLaMA 3.1, Mistral 7B. 
Retrieval: Google Search via SerpAPI. 
Baselines: FACTOOL, FACTCHECK-GPT, SAFE. 
Metrics: Precision, Recall, F1-score, and computational/financial costs."
FND-LLM,2024,LLM-Enhanced multimodal detection of fake news | PLOS One,"A multimodal framework combining SLMs and LLMs. It uses separate branches to extract textual features (BERT), visual semantics (ViT), and visual tampering traces (EAViT). A co-attention network and CLIP handle cross-modal fusion, while an LLM branch provides explanatory justifications.","Evaluation: Weibo (Chinese), Gossipcop, and Politifact (English).","Outperformed existing models on all three datasets, achieving accuracy improvements of 0.7% on Weibo, 6.8% on Gossipcop, and 1.3% on Politifact.","Core Models: BERT, ViT, EAViT for feature extraction; CLIP for cross-modal analysis; MMoE for feature integration; LLMs (e.g., GPT-4) for the rationale/justification branch. 
Baselines: att-RNN, EANN, MVAE, SAFE, Spotfake+, CAFE, CMC. 
Metrics: Accuracy, Precision, Recall, F1-score."
Multi-Source Knowledge-enhanced Graph Attention Network (MultiKE-GAT),2024,Multi-source Knowledge Enhanced Graph Attention Networks for Multimodal Fact Verification,"A multimodal fact verification model using a multi-source knowledge-enhanced graph attention network. It extracts fine-grained entities (textual, visual, key info from LLMs), constructs a heterogeneous graph, and uses a Knowledge-aware Graph Fusion (KGF) module to learn representations and reduce noise.",Evaluation: FACTIFY and MOCHEG.,"Achieved state-of-the-art performance on both datasets, reaching 79.64% weighted F1 on FACTIFY (5-way) and 70.14% F1 on MOCHEG.","Knowledge Extraction: TAGME (textual entities), Faster R-CNN (visual objects), GPT-3.5-turbo (key info). 
Core Models: DeBERTa and Swin Transformer for initial embeddings; Graph Attention Network for fusion. 
Baselines: DeBERTa, Swin Transformer, GPT-3.5, CLIP, ConcatNet, UofA-Truth, Pre-CoFact."
"Multimodal Automated
Fact-checking (MAFT)",2025,MAFT: Multimodal Automated Fact-Checking via Textualization | Proceedings of the AAAI Conference on Artificial Intelligence,"A multimodal automated fact-checking system that textualizes all inputs (images, videos, audio) using ML models (VLM, speech recognition, deepfake detectors). An LLM then analyzes the textualized content alongside retrieved external web evidence to generate an interpretable report.",The paper does not specify datasets used for a quantitative evaluation but describes the system's architecture and provides a qualitative example.,"The paper focuses on the framework description and a qualitative example, without reporting specific quantitative gains against benchmarks.","Core LLM: GPT-4. 
Textualization Models: GPT-4o (VLM), Whisper (speech recognition), ICT (face deepfake detector), Whisper-based detector (audio deepfake detector). 
Retrieval: Google Custom Search API."
FACT-GPT,2024,FACT-GPT: Fact-Checking Augmentation via Claim Matching with LLMs,"A system that leverages LLMs for automated claim matching in fact-checking. It is trained on a synthetic dataset to classify social media posts as entailing, contradicting, or being neutral to previously debunked claims.","Training: A synthetic dataset of 3,675 tweets generated by GPT-4, GPT-3.5, and Llama-2-70b based on debunked COVID-19 claims. 
Evaluation: A ground truth dataset of 1,225 real tweets paired with claims and annotated by humans.","Fine-tuned smaller models (GPT-3.5-Turbo, Llama-2-7b/13b) achieved performance comparable to or better than a pre-trained GPT-4, with the best models reaching 73% accuracy.","Core LLMs: GPT-4, GPT-3.5-Turbo, Llama-2 models. 
Tuning: GPT-3.5 was fine-tuned via API; Llama models were fine-tuned using LoRA. 
Task: 3-class textual entailment (Entailment, Neutral, Contradiction). 
Metrics: Precision, Recall, Accuracy, F1-score."
"Relevant Evidence Detection Directed
Transformer (RED-DOT)",2025,https://ieeexplore.ieee.org/abstract/document/10948326/,"A multimodal fact-checking framework with a ""relevant evidence detection"" (RED) module. It reranks retrieved web evidence, fuses text and image modalities, and simultaneously performs verdict prediction and determines which evidence is relevant to the claim.","Training: NewsCLIPpings+. 
Evaluation: VERITE, a benchmark for real-world multimodal misinformation.",Achieved up to 33.7% accuracy improvement on the VERITE benchmark compared to baselines without evidence. Surpassed state-of-the-art on NewsCLIPpings+ by up to 3% without needing multiple encoders or extensive evidence.,"Core Architecture: Transformer encoder with element-wise modality fusion and multitask learning for verdict prediction and RED. 
Backbone Encoders: Tested CLIP ViT B/32, L/14, ALBEF, and BLIP2. 
Baselines: CCN, ECENet, SEN, DT."
Planning And Customized Action Reasoning (PACAR),2024,PACAR: Automated Fact-Checking with Planning and Customized Action Reasoning Using Large Language Models,"An LLM-based fact-checking framework with four modules: a claim decomposer with self-reflection, a planner, an executor, and a verifier. It focuses on dynamic planning and execution of customized actions (e.g., numerical reasoning, entity disambiguation).","Evaluation: SciFact, FEVEROUS, and HOVER","PACAR model exhibits 4.66% and 4.81% in the open-book settings in HOVER’s 4-hop claims and FEVEROUS dataset, respectively. There are 4.9%, and 3.24% improvements on the SciFact dataset in open-book setting and gold-evidence setting.","Core LLM: gpt-3.5-turbo-0301 for all modules. 
Retrieval: Google service via Serper API. 
Baselines: Fine-tuned (BERT-FC, MULTIVERS, LisT4, RoBERTa-NLI), Few-shot (CodeX, FLAN-T5, ProgramFC), and Zero-shot (ChatGPT) models.
Metric: Macro-F1 score."
"Learning and Evaluation Augmented
by Fact-Checking (LEAF)",2024,LEAF: Learning and Evaluation Augmented by Fact-Checking to Improve Factualness in Large Language Models,A dual-strategy framework to improve LLM factualness. Strategy 1 (Fact-Check-Then-RAG): Uses fact-checking results to guide RAG without updating model parameters. Strategy 2 (Self-Training): Updates model parameters via SFT on fact-checked responses or SimPO using fact-checking as a ranker.,"Evaluation: Five medical QA datasets: USMLE, MMLU-Medical, PubMedQA, BioASQ, MedMCQA.","Filtered accuracy via LEAF significantly improved over the original Llama-3 70B's accuracy (73.5% to 86.5% on USMLE). 
Fact-Check-Then-RAG (FC-RAG) showed a 4.99% improvement on USMLE, 1.66% on MMLU-Medical, 13.0% on PubMedQA, 7.28% on BioASQ, and 1.56% on MedMCQA consistently improved accuracy across all datasets. 
The SFT approach using LEAF shows notable improvements: an increase of 4.71% on USMLE, 4.87% on MMLU-Medical, 6.60% on PubMedQA, 4.53% on BioASQ, and 2.97% on MedMCQA compared to the original model performance. 
The SimPO approach using LEAF shows significant improvements: an increase of 4.08% on USMLE, 2.67% on MMLU-Medical, 6.80% on PubMedQA, 7.45% on BioASQ, and 2.89% on MedMCQA compared to the original model performance.","Core LLMs: Llama 3 70B Instruct (no parameter updates), Llama 3 8B Instruct (self-training). 
Fact-Checker: An adapted version of SAFE using Qwen2-72B as the rater and MedRAG corpus for retrieval.
Baselines: Standard LLM, MedRAG, Factcheck-GPT, ArmoRM."
Bilateral Defusing Verification (BiDeV),2025,[2502.16181] BiDeV: Bilateral Defusing Verification for Complex Claim Fact-Checking,"A Bilateral Defusing Verification workflow using role-played LLMs. It consists of two modules: Vagueness Defusing simplifies complex claims by resolving latent info and complex relations, and Redundancy Defusing filters evidence to enhance its quality.",Evaluation: Hover and Feverous-s.,"Achieved the best performance on both benchmarks, improving Macro-F1 by an average of 3.88% in both gold and open settings compared to the previous SOTA.","Core LLMs: gpt-3.5-turbo for perception, rewriting, decomposition, and filtering; Flan-T5-XL for querying and checking. 
Retrieval: BM25 for the open setting. 
Baselines: Pre-trained (BERT-FC, LisT5), Fine-tuned (RoBERTa-NLI, DeBERTaV3-NLI, MULTIVERS), LLM-ICL (Codex, FLAN-T5), and LLM-reason (HiSS, FOLK, ProgramFC, FactcheckGPT) methods."
FACT-AUDIT,2025,[2502.17924] FACT-AUDIT: An Adaptive Multi-Agent Framework for Dynamic Fact-Checking Evaluation of Large Language Models,"An adaptive multi-agent framework for dynamically evaluating LLM fact-checking capabilities. It uses importance sampling and multi-agent collaboration to generate scalable test datasets and perform iterative, model-centric evaluations that include justification production.","Data Generation: Dynamically generates and updates test scenarios based on a taxonomy of complex claims, fake news, and social rumors. Seed questions were also sampled from the Pinocchio dataset for a reliability check.","The framework effectively differentiates state-of-the-art LLMs, identifying GPT-4o and Qwen2.5-72B as the top performers. GPT-4o showed overall IMR (lower is better) of 12.02, JFR (lower is better) of 3.55, and an overall Grade (higher is better) of 7.21. Qwen2.5-72B showed overall IMR of 16.00, JFR of 3.50, and an overall Grade of 7.17. It also reveals that LLMs struggle more with complex claims than fake news.","Core LLM (for agents): GPT-4o. 
Target LLMs (for evaluation): 13 SOTA models including GPT-4o, Claude 3.5, Gemini-Pro, Llama 3.1, Qwen2.5, and Mistral models. 
Metrics: Insight Mastery Rate (IMR), Justification Flaw Rate (JFR), and Grade (1-10 scale)."
